Timestamp,Machine_ID,Run_ID,Mode,BENEFIT_TO_COST_RATIO,COST,NUM_IGSS,NUM_UC,NUM_D,NUM_ROUNDS,INITIAL_ENDOWMENT,ENDOWMENT_FRACTION,EXECUTION_ERROR_RATE,PERCEPTION_ERROR_RATE,POP_SIZE,MAX_GENS,PARSIMONY_TAX,CXPB,MUTPB,TOURNAMENT_SIZE,HOF_SIZE,INIT_METHOD,TREE_MIN_DEPTH,TREE_MAX_DEPTH,STATIC_DEPTH_LIMIT,SEED,CONFIG_GROUP,REPETITION,Best_Rule_Raw,Best_Rule_SymPy,Identified_Strategy,iGSS_Max_Fitness,iGSS_Avg_Fitness,UC_Fitness,D_Fitness,Control_Baseline,Manual_Validation
2026-05-03_22-03,Local_VSCode,DR2_Config_1_R1,Direct Reciprocity Mode 2 (Memory Ledger Search),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,3,17,42,Config_1,1,"mul(DonorInMemory, DonorAction)",DonorAction*DonorInMemory,"Novel Rule: (True, False, False, False)",10.0,10.0,0.0,0.0,10.0,
2026-05-03_22-03,Local_VSCode,DR2_Config_1_R2,Direct Reciprocity Mode 2 (Memory Ledger Search),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,3,17,43,Config_1,2,"sub(1, 1)",0,Amnesia (Remember No One),10.0,9.2,0.0,0.0,10.0,
2026-05-03_22-03,Local_VSCode,DR2_Config_1_R3,Direct Reciprocity Mode 2 (Memory Ledger Search),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,3,17,44,Config_1,3,"add(1, -10)",-9,Amnesia (Remember No One),10.0,8.35,0.0,0.0,10.0,
2026-05-03_22-03,Local_VSCode,DR2_Config_1_R4,Direct Reciprocity Mode 2 (Memory Ledger Search),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,3,17,45,Config_1,4,"sub(0, DonorAction)",-DonorAction,Amnesia (Remember No One),10.0,10.0,0.0,0.0,10.0,
2026-05-03_22-03,Local_VSCode,DR2_Config_1_R5,Direct Reciprocity Mode 2 (Memory Ledger Search),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,3,17,46,Config_1,5,"add(DonorInMemory, DonorInMemory)",2*DonorInMemory,"Novel Rule: (True, False, True, False)",10.0,9.61,0.0,0.0,10.0,
2026-05-03_22-03,Local_VSCode,DR2_Config_2_R1,Direct Reciprocity Mode 2 (Memory Ledger Search),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,10,17,1042,Config_2,1,"sub(1, DonorAction)",1 - DonorAction,Strict Ledger (TFT Base),10.0,9.72,0.0,0.0,10.0,
2026-05-03_22-03,Local_VSCode,DR2_Config_2_R2,Direct Reciprocity Mode 2 (Memory Ledger Search),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,10,17,1043,Config_2,2,"mul(DonorAction, DonorInMemory)",DonorAction*DonorInMemory,"Novel Rule: (True, False, False, False)",10.0,9.41,0.0,0.0,10.0,
2026-05-03_22-03,Local_VSCode,DR2_Config_2_R3,Direct Reciprocity Mode 2 (Memory Ledger Search),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,10,17,1044,Config_2,3,"mul(DonorInMemory, DonorAction)",DonorAction*DonorInMemory,"Novel Rule: (True, False, False, False)",10.0,10.0,0.0,0.0,10.0,
2026-05-03_22-03,Local_VSCode,DR2_Config_2_R4,Direct Reciprocity Mode 2 (Memory Ledger Search),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,10,17,1045,Config_2,4,"mul(0, -10)",0,Amnesia (Remember No One),10.0,10.0,0.0,0.0,10.0,
2026-05-03_22-03,Local_VSCode,DR2_Config_2_R5,Direct Reciprocity Mode 2 (Memory Ledger Search),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,10,17,1046,Config_2,5,"sub(DonorInMemory, DonorAction)",-DonorAction + DonorInMemory,"Novel Rule: (False, False, True, False)",10.0,10.0,0.0,0.0,10.0,
2026-05-03_22-03,Local_VSCode,DR2_Config_3_R1,Direct Reciprocity Mode 2 (Memory Ledger Search),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.5,0.5,0.2,3,1,genHalfAndHalf,1,3,17,2042,Config_3,1,"sub(DonorInMemory, DonorInMemory)",0,Amnesia (Remember No One),10.0,9.58,0.0,0.0,10.0,
2026-05-03_22-03,Local_VSCode,DR2_Config_3_R2,Direct Reciprocity Mode 2 (Memory Ledger Search),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.5,0.5,0.2,3,1,genHalfAndHalf,1,3,17,2043,Config_3,2,"mul(10, 0)",0,Amnesia (Remember No One),10.0,9.61,0.0,0.0,10.0,
2026-05-03_22-03,Local_VSCode,DR2_Config_3_R3,Direct Reciprocity Mode 2 (Memory Ledger Search),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.5,0.5,0.2,3,1,genHalfAndHalf,1,3,17,2044,Config_3,3,"sub(0, DonorAction)",-DonorAction,Amnesia (Remember No One),10.0,9.73,0.0,0.0,10.0,
2026-05-03_22-03,Local_VSCode,DR2_Config_3_R4,Direct Reciprocity Mode 2 (Memory Ledger Search),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.5,0.5,0.2,3,1,genHalfAndHalf,1,3,17,2045,Config_3,4,"mul(DonorAction, -10)",-10*DonorAction,Amnesia (Remember No One),10.0,10.0,0.0,0.0,10.0,
2026-05-03_22-03,Local_VSCode,DR2_Config_3_R5,Direct Reciprocity Mode 2 (Memory Ledger Search),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.5,0.5,0.2,3,1,genHalfAndHalf,1,3,17,2046,Config_3,5,"sub(DonorInMemory, DonorInMemory)",0,Amnesia (Remember No One),10.0,10.0,0.0,0.0,10.0,
2026-05-03_22-03,Local_VSCode,DR2_Config_4_R1,Direct Reciprocity Mode 2 (Memory Ledger Search),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.5,0.5,0.2,3,1,genHalfAndHalf,1,10,17,3042,Config_4,1,"sub(0, 10)",-10,Amnesia (Remember No One),10.0,10.0,0.0,0.0,10.0,
2026-05-03_22-03,Local_VSCode,DR2_Config_4_R2,Direct Reciprocity Mode 2 (Memory Ledger Search),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.5,0.5,0.2,3,1,genHalfAndHalf,1,10,17,3043,Config_4,2,"mul(1, DonorInMemory)",DonorInMemory,"Novel Rule: (True, False, True, False)",10.0,9.6,0.0,0.0,10.0,
2026-05-03_22-03,Local_VSCode,DR2_Config_4_R3,Direct Reciprocity Mode 2 (Memory Ledger Search),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.5,0.5,0.2,3,1,genHalfAndHalf,1,10,17,3044,Config_4,3,"mul(-10, DonorAction)",-10*DonorAction,Amnesia (Remember No One),10.0,10.0,0.0,0.0,10.0,
2026-05-03_22-03,Local_VSCode,DR2_Config_4_R4,Direct Reciprocity Mode 2 (Memory Ledger Search),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.5,0.5,0.2,3,1,genHalfAndHalf,1,10,17,3045,Config_4,4,"mul(DonorInMemory, DonorInMemory)",DonorInMemory**2,"Novel Rule: (True, False, True, False)",10.0,10.0,0.0,0.0,10.0,
2026-05-03_22-03,Local_VSCode,DR2_Config_4_R5,Direct Reciprocity Mode 2 (Memory Ledger Search),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.5,0.5,0.2,3,1,genHalfAndHalf,1,10,17,3046,Config_4,5,"sub(-1, DonorAction)",-DonorAction - 1,Amnesia (Remember No One),10.0,10.0,0.0,0.0,10.0,
2026-05-03_22-04,Local_VSCode,DR2_Config_5_R1,Direct Reciprocity Mode 2 (Memory Ledger Search),2,1,10,0,0,10,1,0.5,0.0,0.0,100,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,3,17,4042,Config_5,1,"sub(DonorInMemory, DonorAction)",-DonorAction + DonorInMemory,"Novel Rule: (False, False, True, False)",10.0,9.7,0.0,0.0,10.0,
2026-05-03_22-04,Local_VSCode,DR2_Config_5_R2,Direct Reciprocity Mode 2 (Memory Ledger Search),2,1,10,0,0,10,1,0.5,0.0,0.0,100,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,3,17,4043,Config_5,2,"mul(-10, DonorInMemory)",-10*DonorInMemory,Amnesia (Remember No One),10.0,9.81,0.0,0.0,10.0,
2026-05-03_22-04,Local_VSCode,DR2_Config_5_R3,Direct Reciprocity Mode 2 (Memory Ledger Search),2,1,10,0,0,10,1,0.5,0.0,0.0,100,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,3,17,4044,Config_5,3,"mul(DonorInMemory, DonorAction)",DonorAction*DonorInMemory,"Novel Rule: (True, False, False, False)",10.0,9.96,0.0,0.0,10.0,
2026-05-03_22-04,Local_VSCode,DR2_Config_5_R4,Direct Reciprocity Mode 2 (Memory Ledger Search),2,1,10,0,0,10,1,0.5,0.0,0.0,100,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,3,17,4045,Config_5,4,"mul(DonorAction, -10)",-10*DonorAction,Amnesia (Remember No One),10.0,9.73,0.0,0.0,10.0,
2026-05-03_22-05,Local_VSCode,DR2_Config_5_R5,Direct Reciprocity Mode 2 (Memory Ledger Search),2,1,10,0,0,10,1,0.5,0.0,0.0,100,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,3,17,4046,Config_5,5,"sub(1, DonorAction)",1 - DonorAction,Strict Ledger (TFT Base),10.0,9.75,0.0,0.0,10.0,
2026-05-03_22-05,Local_VSCode,DR2_Config_6_R1,Direct Reciprocity Mode 2 (Memory Ledger Search),2,1,10,0,0,10,1,0.5,0.0,0.0,100,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,10,17,5042,Config_6,1,"add(DonorInMemory, -1)",DonorInMemory - 1,Amnesia (Remember No One),10.0,9.66,0.0,0.0,10.0,
2026-05-03_22-05,Local_VSCode,DR2_Config_6_R2,Direct Reciprocity Mode 2 (Memory Ledger Search),2,1,10,0,0,10,1,0.5,0.0,0.0,100,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,10,17,5043,Config_6,2,"sub(-10, 1)",-11,Amnesia (Remember No One),10.0,9.69,0.0,0.0,10.0,
2026-05-03_22-05,Local_VSCode,DR2_Config_6_R3,Direct Reciprocity Mode 2 (Memory Ledger Search),2,1,10,0,0,10,1,0.5,0.0,0.0,100,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,10,17,5044,Config_6,3,"add(DonorAction, -10)",DonorAction - 10,Amnesia (Remember No One),10.0,9.93,0.0,0.0,10.0,
2026-05-03_22-05,Local_VSCode,DR2_Config_6_R4,Direct Reciprocity Mode 2 (Memory Ledger Search),2,1,10,0,0,10,1,0.5,0.0,0.0,100,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,10,17,5045,Config_6,4,"sub(DonorInMemory, DonorInMemory)",0,Amnesia (Remember No One),10.0,9.74,0.0,0.0,10.0,
2026-05-03_22-06,Local_VSCode,DR2_Config_6_R5,Direct Reciprocity Mode 2 (Memory Ledger Search),2,1,10,0,0,10,1,0.5,0.0,0.0,100,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,10,17,5046,Config_6,5,"sub(-1, DonorInMemory)",-DonorInMemory - 1,Amnesia (Remember No One),10.0,9.78,0.0,0.0,10.0,
2026-05-03_22-06,Local_VSCode,DR2_Config_7_R1,Direct Reciprocity Mode 2 (Memory Ledger Search),2,1,10,0,0,10,1,0.5,0.0,0.0,100,100,0.5,0.5,0.2,3,1,genHalfAndHalf,1,3,17,6042,Config_7,1,"mul(DonorInMemory, DonorAction)",DonorAction*DonorInMemory,"Novel Rule: (True, False, False, False)",10.0,9.72,0.0,0.0,10.0,
2026-05-03_22-06,Local_VSCode,DR2_Config_7_R2,Direct Reciprocity Mode 2 (Memory Ledger Search),2,1,10,0,0,10,1,0.5,0.0,0.0,100,100,0.5,0.5,0.2,3,1,genHalfAndHalf,1,3,17,6043,Config_7,2,"mul(10, -1)",-10,Amnesia (Remember No One),10.0,9.49,0.0,0.0,10.0,
