Timestamp,Machine_ID,Run_ID,Mode,BENEFIT_TO_COST_RATIO,COST,NUM_IGSS,NUM_UC,NUM_D,NUM_ROUNDS,INITIAL_ENDOWMENT,ENDOWMENT_FRACTION,EXECUTION_ERROR_RATE,PERCEPTION_ERROR_RATE,POP_SIZE,MAX_GENS,PARSIMONY_TAX,CXPB,MUTPB,TOURNAMENT_SIZE,HOF_SIZE,INIT_METHOD,TREE_MIN_DEPTH,TREE_MAX_DEPTH,STATIC_DEPTH_LIMIT,SEED,CONFIG_GROUP,REPETITION,Best_Rule_Raw,Best_Rule_SymPy,Identified_Strategy,iGSS_Max_Fitness,iGSS_Avg_Fitness,UC_Fitness,D_Fitness,Control_Baseline,Manual_Validation
2026-05-02_11-16,Local_VSCode,IR2NoD_Config_1_R1,Indirect Reciprocity Mode 2 (Assessment w/ No Donor Var),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,3,17,42,Config_1,1,"mul(RecipientStanding, DonorAction)",DonorAction*RecipientStanding,Shunning,10.0,10.0,0.0,0.0,10.0,
2026-05-02_11-16,Local_VSCode,IR2NoD_Config_1_R2,Indirect Reciprocity Mode 2 (Assessment w/ No Donor Var),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,3,17,43,Config_1,2,"mul(DonorAction, DonorAction)",DonorAction**2,Image Scoring (binary),10.0,10.0,0.0,0.0,10.0,
2026-05-02_11-16,Local_VSCode,IR2NoD_Config_1_R3,Indirect Reciprocity Mode 2 (Assessment w/ No Donor Var),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,3,17,44,Config_1,3,"mul(RecipientStanding, RecipientStanding)",RecipientStanding**2,"Novel Rule: (True, False, True, False)",10.0,8.09,0.0,0.0,10.0,
2026-05-02_11-16,Local_VSCode,IR2NoD_Config_1_R4,Indirect Reciprocity Mode 2 (Assessment w/ No Donor Var),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,3,17,45,Config_1,4,"add(RecipientStanding, DonorAction)",DonorAction + RecipientStanding,"Novel Rule: (True, True, True, False)",10.0,9.06,0.0,0.0,10.0,
2026-05-02_11-16,Local_VSCode,IR2NoD_Config_1_R5,Indirect Reciprocity Mode 2 (Assessment w/ No Donor Var),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,3,17,46,Config_1,5,"add(RecipientStanding, RecipientStanding)",2*RecipientStanding,"Novel Rule: (True, False, True, False)",10.0,7.13,0.0,0.0,10.0,
2026-05-02_11-16,Local_VSCode,IR2NoD_Config_2_R1,Indirect Reciprocity Mode 2 (Assessment w/ No Donor Var),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,10,17,1042,Config_2,1,"sub(10, RecipientStanding)",10 - RecipientStanding,Unconditional Good,10.0,7.17,0.0,0.0,10.0,
2026-05-02_11-16,Local_VSCode,IR2NoD_Config_2_R2,Indirect Reciprocity Mode 2 (Assessment w/ No Donor Var),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,10,17,1043,Config_2,2,"mul(DonorAction, RecipientStanding)",DonorAction*RecipientStanding,Shunning,10.0,7.15,0.0,0.0,10.0,
2026-05-02_11-16,Local_VSCode,IR2NoD_Config_2_R3,Indirect Reciprocity Mode 2 (Assessment w/ No Donor Var),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,10,17,1044,Config_2,3,"mul(RecipientStanding, DonorAction)",DonorAction*RecipientStanding,Shunning,10.0,9.04,0.0,0.0,10.0,
2026-05-02_11-16,Local_VSCode,IR2NoD_Config_2_R4,Indirect Reciprocity Mode 2 (Assessment w/ No Donor Var),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,10,17,1045,Config_2,4,"mul(10, DonorAction)",10*DonorAction,Image Scoring (binary),10.0,10.0,0.0,0.0,10.0,
2026-05-02_11-16,Local_VSCode,IR2NoD_Config_2_R5,Indirect Reciprocity Mode 2 (Assessment w/ No Donor Var),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,10,17,1046,Config_2,5,"mul(RecipientStanding, RecipientStanding)",RecipientStanding**2,"Novel Rule: (True, False, True, False)",10.0,8.11,0.0,0.0,10.0,
